Timestamp,tello_pos,mic1_pos,mic2_pos,mic3_pos,mic4_pos,mic5_pos,mic6_pos,mic7_pos,mic8_pos,mic9_pos,mic10_pos,mic11_pos,mic12_pos,mic1_dist,mic2_dist,mic3_dist,mic4_dist,mic5_dist,mic6_dist,mic7_dist,mic8_dist,mic9_dist,mic10_dist,mic11_dist,mic12_dist,mic1_db,mic2_db,mic3_db,mic4_db,mic5_db,mic6_db,mic7_db,mic8_db,mic9_db,mic10_db,mic11_db,mic12_db,mic1_timestamp,mic2_timestamp,mic3_timestamp,mic4_timestamp,mic5_timestamp,mic6_timestamp,mic7_timestamp,mic8_timestamp,mic9_timestamp,mic10_timestamp,mic11_timestamp,mic12_timestamp
"builtin_interfaces.msg.Time(sec=1734157171, nanosec=894690366)",[ 0.86 -7.6  -0.03],[-0.47 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.21  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.85,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,0.0,-44.11902308254102,-39.30792756267677,0.0,0.0,0.0,-46.75918813629323,-41.889919431803335,-43.056211471233475,-44.63398909488403,-39.67601562610603,-44.72340967884737,,,,,,,"builtin_interfaces.msg.Time(sec=1734157171, nanosec=788359279)","builtin_interfaces.msg.Time(sec=1734157171, nanosec=788823824)","builtin_interfaces.msg.Time(sec=1734157171, nanosec=788484034)","builtin_interfaces.msg.Time(sec=1734157171, nanosec=786346622)","builtin_interfaces.msg.Time(sec=1734157171, nanosec=789245221)","builtin_interfaces.msg.Time(sec=1734157171, nanosec=784166612)"
"builtin_interfaces.msg.Time(sec=1734157171, nanosec=994686213)",[ 0.86 -7.6  -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.21  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.85,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,0.0,-38.432724156847215,-43.85612012778577,-43.771338514510276,0.0,0.0,-39.02208051174362,-46.4858570213041,-37.58059623609829,-40.13515173124243,-41.554152872704925,-42.10828706305733,,,,,,,"builtin_interfaces.msg.Time(sec=1734157171, nanosec=883219323)","builtin_interfaces.msg.Time(sec=1734157171, nanosec=891268503)","builtin_interfaces.msg.Time(sec=1734157171, nanosec=883317445)","builtin_interfaces.msg.Time(sec=1734157171, nanosec=889270145)","builtin_interfaces.msg.Time(sec=1734157171, nanosec=884253164)","builtin_interfaces.msg.Time(sec=1734157171, nanosec=889175462)"
"builtin_interfaces.msg.Time(sec=1734157172, nanosec=95599206)",[ 0.86 -7.6  -0.03],[-0.47 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.21  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.85,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,-46.42335313718698,-47.86493020525829,-49.025195712456984,-51.64879646138818,-34.734520402691416,0.0,-42.83014678634881,-46.677820012872886,-44.47200973697173,-47.54746756496013,-48.031096162032,-49.88390323304547,,,,,,,"builtin_interfaces.msg.Time(sec=1734157171, nanosec=988226971)","builtin_interfaces.msg.Time(sec=1734157171, nanosec=986496662)","builtin_interfaces.msg.Time(sec=1734157171, nanosec=988289817)","builtin_interfaces.msg.Time(sec=1734157171, nanosec=984268160)","builtin_interfaces.msg.Time(sec=1734157171, nanosec=989239240)","builtin_interfaces.msg.Time(sec=1734157171, nanosec=984168194)"
"builtin_interfaces.msg.Time(sec=1734157172, nanosec=194465233)",[ 0.86 -7.6  -0.03],[-0.47 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.21  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.85,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,-46.13872789924045,-47.88984139336829,-46.24014070996253,-48.46258426512296,-44.000653114152406,-43.44080578565732,-43.93617972902102,-50.526080766188514,-51.254434957864234,-43.8646367872824,-51.704604321669414,-44.616828650032474,,,,,,,"builtin_interfaces.msg.Time(sec=1734157172, nanosec=83595527)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=91255183)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=83785804)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=89406966)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=85094938)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=89246282)"
"builtin_interfaces.msg.Time(sec=1734157172, nanosec=294479622)",[ 0.86 -7.6  -0.03],[-0.47 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.84,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,-39.47131548980187,-43.67900704010955,-39.35249392124034,-46.000453466848086,-51.78955060340389,-35.652687501833206,-42.44920586977865,-37.62416314263501,-45.53064227454855,-41.358986762437624,-42.60570800850867,-40.75425647947492,,,,,,,"builtin_interfaces.msg.Time(sec=1734157172, nanosec=188220799)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=186512394)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=188310858)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=184282789)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=189235479)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=184219295)"
"builtin_interfaces.msg.Time(sec=1734157172, nanosec=394737448)",[ 0.86 -7.6  -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.21  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.85,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,-46.45257322893795,-45.573572453024155,-41.04086003193974,-43.69692758200212,-48.605737169132475,-43.226851028226335,-40.31904438010553,-47.33135208186042,-43.56597142707752,-40.92388209924361,-43.30828940486623,-50.32328790397615,"builtin_interfaces.msg.Time(sec=1734157172, nanosec=281363403)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=286274507)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=281242227)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=287258317)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=282269893)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=182237068)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=283242805)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=291295781)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=283503718)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=289300568)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=284282624)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=289186086)"
"builtin_interfaces.msg.Time(sec=1734157172, nanosec=494688149)",[ 0.86 -7.6  -0.03],[-0.47 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.21  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.85,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,-35.015198605712655,-33.306897481347725,-34.26324756049063,-36.745222082509905,-31.953063358259456,-37.067114460224055,-32.64081719174007,-38.479120421784195,-32.48816053193022,-38.03368639996622,-33.0360304210872,-35.27285399096104,"builtin_interfaces.msg.Time(sec=1734157172, nanosec=386335513)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=381363775)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=386549785)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=382212024)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=387239392)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=382326609)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=388215072)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=386833908)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=388294489)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=384247208)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=389249391)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=384347243)"
"builtin_interfaces.msg.Time(sec=1734157172, nanosec=594531904)",[ 0.86 -7.6  -0.03],[-0.47 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.21  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.85,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,-40.41278546001121,-40.901593107188184,-39.91728595408325,-44.30138244955621,-38.1133670936021,-35.30540501131017,-40.106358933487286,-38.411319947557466,-48.612346649723136,-39.24901677310515,-37.75636924246711,-43.29907142203274,"builtin_interfaces.msg.Time(sec=1734157172, nanosec=481224388)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=486302364)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=481311360)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=487368453)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=482263401)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=487263086)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=483262166)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=491320189)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=483354377)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=489294542)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=484262957)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=489170924)"
"builtin_interfaces.msg.Time(sec=1734157172, nanosec=694465161)",[ 0.86 -7.6  -0.03],[-0.47 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.21  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.85,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,-47.14577005141939,-48.86351774966478,-51.21830857476945,-47.932216360401235,-47.327192353343584,-45.591996434854174,-43.39627030445107,-49.80919541019085,-50.430699762158014,-44.63980626035319,-51.503548826396326,-52.102125501251166,"builtin_interfaces.msg.Time(sec=1734157172, nanosec=586290607)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=581237137)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=586397567)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=582228347)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=587218306)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=582298139)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=588217540)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=586477642)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=588300919)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=584316814)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=589267337)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=584271661)"
"builtin_interfaces.msg.Time(sec=1734157172, nanosec=794468153)",[ 0.86 -7.6  -0.03],[-0.47 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.21  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.85,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,-46.65219441731105,-36.366093459473376,-36.77396026680637,-36.797975632919005,-42.64343564152177,-32.171066850289826,-44.64746771080155,-37.89074059484162,-55.315286985415106,-35.78252282893257,-41.612836990899886,-47.45529672494216,"builtin_interfaces.msg.Time(sec=1734157172, nanosec=681206263)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=686204800)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=681309959)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=687223211)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=682256438)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=687369677)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=683343511)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=691235745)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=683258839)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=689278936)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=684265788)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=689195836)"
"builtin_interfaces.msg.Time(sec=1734157172, nanosec=894507291)",[ 0.86 -7.6  -0.03],[-0.47 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.21  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.85,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,-51.16730241808054,-43.31257868667773,-49.01360281397822,-43.49376304286962,-49.890002380179496,-48.064301348544944,-37.76932889320753,-46.07721074694705,-43.42357339700455,-43.887395961280085,-45.86155515524677,-45.87619853869477,"builtin_interfaces.msg.Time(sec=1734157172, nanosec=786269128)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=781286361)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=786210902)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=782312432)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=787257659)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=782238459)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=788216756)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=786346840)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=788283532)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=784299115)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=789286426)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=784206262)"
"builtin_interfaces.msg.Time(sec=1734157172, nanosec=994595678)",[ 0.86 -7.6  -0.03],[-0.47 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.84,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,-35.419947292862716,-39.5971700495795,-33.907675192336626,-37.60141452695994,-32.40438036893608,-35.17405875172024,-35.564686592752714,-33.976951166372345,-32.740254367700594,-35.49154705984953,-31.381756917500958,-38.11743811638325,"builtin_interfaces.msg.Time(sec=1734157172, nanosec=881215211)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=886209731)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=881310149)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=887252321)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=882193261)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=887389751)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=883255180)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=891320172)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=883349060)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=889452708)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=884243495)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=889251481)"
"builtin_interfaces.msg.Time(sec=1734157173, nanosec=94460459)",[ 0.86 -7.6  -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.22  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.84,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,-44.242229479454636,-51.323587523975306,-46.030226931364055,-46.99065139449984,-45.63713861810477,-50.19445808421164,-43.33660023341274,-39.58150079617606,-41.51512532607796,-45.08712546722181,-45.48074712563243,-49.806914054804125,"builtin_interfaces.msg.Time(sec=1734157172, nanosec=986180724)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=981208914)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=986243526)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=982220260)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=987217760)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=982300244)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=988263949)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=986329351)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=988354919)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=984358223)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=989245272)","builtin_interfaces.msg.Time(sec=1734157172, nanosec=984264041)"
"builtin_interfaces.msg.Time(sec=1734157173, nanosec=194554667)",[ 0.86 -7.6  -0.03],[-0.47 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.21  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.85,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,-47.708772870959095,-38.32506792810976,-44.262554948139865,-42.69995144001028,-38.11219471685842,-41.055366218266194,-39.76427776547884,-40.304057415499415,-44.7888197661817,-39.48236553311246,-43.156936331975274,-46.27127155516325,"builtin_interfaces.msg.Time(sec=1734157173, nanosec=81190120)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=86207297)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=81272095)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=87218075)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=82185903)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=87423089)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=83218920)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=76104663)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=83310361)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=89304736)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=84288569)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=89223891)"
"builtin_interfaces.msg.Time(sec=1734157173, nanosec=294481666)",[ 0.86 -7.6  -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.21  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.85,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,-38.61487466133954,-40.2597327989158,-37.432830892107134,-43.91814024351926,-36.565249268304115,-50.02816413171156,-36.20122267764091,-39.77271755232476,-36.154419567775975,-44.01968539095972,-39.4131844691241,-45.29636374062237,"builtin_interfaces.msg.Time(sec=1734157173, nanosec=189251014)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=181654396)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=186241942)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=182199006)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=189117721)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=182304601)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=189651137)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=188741933)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=188303151)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=184280646)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=189870466)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=184199305)"
"builtin_interfaces.msg.Time(sec=1734157173, nanosec=394683232)",[ 0.86 -7.6  -0.03],[-0.47 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.21  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.85,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,-44.20551442249267,-45.340161309635256,-45.36893150344692,-52.32180747487238,-42.31999046044079,-50.08705473440468,-38.076298138991966,-46.043135548215176,-42.93052983658394,-43.39323242034153,-49.0504807597915,-46.50439491392417,"builtin_interfaces.msg.Time(sec=1734157173, nanosec=281342739)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=286218039)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=281232110)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=287395569)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=282191320)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=287255478)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=283397338)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=277172614)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=283286094)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=289508824)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=284298293)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=289257401)"
"builtin_interfaces.msg.Time(sec=1734157173, nanosec=497811295)",[ 0.86 -7.6  -0.03],[-0.48 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.21  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.85,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,-49.78049851891684,-39.559893583022784,-48.66920691841061,-54.103235599240506,-49.3066408619209,-38.80552520704888,-44.18519676203667,-44.74662664605266,-39.7987880866542,-48.366044872825924,-50.00624852735304,-45.67310416448076,"builtin_interfaces.msg.Time(sec=1734157173, nanosec=386187040)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=381234050)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=386579147)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=382204855)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=387188075)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=382286714)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=388364303)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=386292018)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=388245083)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=384343058)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=389267457)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=384182795)"
"builtin_interfaces.msg.Time(sec=1734157173, nanosec=594452755)",[ 0.86 -7.6  -0.03],[-0.47 -5.52  1.24],[-0.53 -6.21  1.25],[ 1.68 -6.21  0.87],[ 1.42 -6.23  1.32],[ 1.36 -5.84  0.4 ],[ 0.15 -6.15  1.31],[ 0.2  -6.14  0.58],[ 0.42 -5.97  1.32],[ 0.2  -5.77  0.58],[ 0.05 -5.78  1.24],[ 1.38 -6.01  1.33],[ 1.67 -5.83  0.94],2.78,2.35,1.85,2.0,1.88,2.1,1.71,2.16,2.04,2.36,2.16,2.17,-49.40275822879188,-46.899064211680596,-44.359726256660394,-45.51404711678954,-51.311100418016295,-47.979448119741654,-49.50576350129368,-45.631558317746496,-45.40433625191409,-44.37234398212398,-44.80693993892522,-47.969735373744065,"builtin_interfaces.msg.Time(sec=1734157173, nanosec=481172630)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=486228112)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=481275505)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=487245632)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=482190259)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=487338545)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=483222132)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=491332185)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=483359263)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=489350535)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=484274667)","builtin_interfaces.msg.Time(sec=1734157173, nanosec=489161278)"
